,0,21.2348,33.47129,1523.139,23.26837,4.598841E-03,0,
,.5,21.2348,33.47129,1523.139,23.26837,4.598841E-03,0,
,1,21.23511,33.47118,1523.148,23.26825,4.599111E-03,4.629261E-03,
,1.5,21.2329,33.47079,1523.15,23.26851,4.598973E-03,6.943979E-03,
,2,21.22387,33.46896,1523.132,23.26958,4.59815E-03,9.25842E-03,
,2.5,21.20603,33.46635,1523.089,23.27246,4.595658E-03,1.157198E-02,
,3,21.16012,33.46371,1522.971,23.28284,4.585924E-03,.0138828,
,3.5,21.04523,33.45978,1522.665,23.3109,4.559241E-03,1.618364E-02,
,4,20.88757,33.45693,1522.243,23.35118,4.520991E-03,1.846756E-02,
,4.5,20.70927,33.45502,1521.764,23.39751,4.476851E-03,2.073244E-02,
,5,20.49825,33.4461,1521.185,23.44689,4.429899E-03,2.297355E-02,
,5.5,20.25288,33.43554,1520.506,23.50374,4.375792E-03,.0251916,
,6,19.92472,33.42368,1519.589,23.58055,4.302637E-03,2.737344E-02,
,6.5,19.57095,33.41358,1518.595,23.66445,.0042227,2.951822E-02,
,7,19.15916,33.39852,1517.421,23.75815,4.133408E-03,3.162339E-02,
,7.5,18.56322,33.38549,1515.702,23.89761,4.000508E-03,3.366831E-02,
,8,17.86682,33.37799,1513.67,24.06296,3.842884E-03,3.564125E-02,
,8.5,17.26733,33.362,1511.885,24.19508,3.716996E-03,3.754882E-02,
,9,16.94277,33.34147,1510.895,24.25594,3.659151E-03,.0394062,
,9.5,16.67204,33.30659,1510.044,24.29232,3.624464E-03,4.124063E-02,
,10,16.49146,33.29391,1509.487,24.32439,3.594059E-03,4.305533E-02,
,10.5,16.34243,33.28572,1509.03,24.35229,3.567579E-03,4.485786E-02,
,11,16.2127,33.28048,1508.634,24.37787,3.543381E-03,4.664803E-02,
,11.5,16.05799,33.27977,1508.165,24.4124,3.510625E-03,4.842374E-02,
,12,15.88057,33.28195,1507.626,24.4541,3.471007E-03,5.018173E-02,
,12.5,15.71614,33.28726,1507.129,24.495,3.432163E-03,5.191992E-02,
,13,15.52295,33.28596,1506.532,24.53687,3.392359E-03,5.363633E-02,
,13.5,15.33894,33.28667,1505.964,24.57801,3.353256E-03,5.533235E-02,
,14,15.15143,33.28696,1505.381,24.61929,3.314012E-03,5.701039E-02,
,14.5,14.98105,33.28638,1504.849,24.6559,3.279232E-03,5.867057E-02,
,15,14.85558,33.28529,1504.457,24.68216,3.254308E-03,6.031664E-02,
